,,eta=0.25,,,eta=0.75,,
,,precision,recall,f-score,precision,recall,f-score
n=250,OT,0.781(0.292),0.783(0.191),0.727(0.206),1.0(0.0),0.817(0.111),0.895(0.063)
,MN,0.882(0.213),0.883(0.221),0.882(0.216),0.96(0.095),0.992(0.045),0.974(0.068)
,ECP,0.92(0.146),0.933(0.143),0.926(0.143),0.987(0.05),1.0(0.0),0.993(0.028)
,WBS,0.286(0.081),0.942(0.14),0.435(0.102),0.487(0.146),1.0(0.0),0.643(0.119)
n=1000,OT,1.0(0.0),0.933(0.111),0.962(0.063),1.0(0.0),0.783(0.085),0.876(0.049)
,MN,0.956(0.092),1.0(0.0),0.975(0.053),0.973(0.068),1.0(0.0),0.985(0.038)
,ECP,0.993(0.036),1.0(0.0),0.996(0.02),0.987(0.05),1.0(0.0),0.993(0.028)
,WBS,0.413(0.073),1.0(0.0),0.581(0.073),0.422(0.13),1.0(0.0),0.583(0.12)
