,,w=1.25,,,w=1.5,,,w=1.75,,,w=2,,,w=2.5,,
,,OE,UE,#E,OE,UE,#E,OE,UE,#E,OE,UE,#E,OE,UE,#E
n=250,OT,3.798,1.57,0.872,0.07,1.468,0.846,0,1.48,0.86,0,1.48,0.866,0,1.478,0.85
,MN,2.017,1.846,1.854,0.023,1.661,1.817,0,1.576,1.681,0,1.57,1.703,0,1.576,1.7
,CUSUM,0.791,3.499,5.839,0.068,2.994,3.832,0,2.207,1.821,0,1.207,0.767,0,0.227,0.111
n=500,OT,0.802,1.55,0.818,0,1.634,0.936,0,1.67,0.936,0,1.574,0.904,0,1.46,0.838
,MN,0.156,1.687,1.777,0,1.635,1.889,0,1.585,1.744,0,1.593,1.656,0,1.66,1.848
,CUSUM,0.281,3.314,5.009,0,2.014,1.588,0,0.531,0.295,0,0.058,0.028,0,0,0
n=750,OT,0.152,1.544,0.896,0,1.538,0.874,0,1.426,0.828,0,1.47,0.876,0,1.356,0.852
,MN,0.034,1.687,1.814,0,1.584,1.725,0,1.565,1.704,0,1.557,1.743,0,1.547,1.704
,CUSUM,0.107,3.047,3.935,0,0.959,0.596,0,0.07,0.034,0,0.003,0.001,0,0,0
n=1000,OT,0.03,1.604,0.898,0,1.594,0.916,0,1.65,0.962,0,1.604,0.952,0,1.61,0.94
,MN,0.002,1.601,1.824,0,1.512,1.619,0,1.524,1.649,0,1.556,1.765,0,1.532,1.682
,CUSUM,0.039,2.825,3.148,0,0.403,0.224,0,0.008,0.004,0,0,0,0,0,0
